date,time,implementation,threads,image_file,execution_ms,cpu_ms,avg_cpu_percent
2026-05-10,17:28:52.982427,1,1,src.jpg,147.063,203.125,6.28
2026-05-10,17:28:58.368995200,1,1,src10K.jpg,4378.367,4343.750,4.51
2026-05-10,17:28:59.019953400,1,1,src2K.jpg,304.151,359.375,5.37
2026-05-10,17:29:00.506016300,1,1,src5K.jpg,1004.500,1125.000,5.09
2026-05-10,17:29:04.748166100,1,1,src7K.jpg,3565.694,3406.250,4.34
2026-05-10,17:29:05.215075300,2,1,src.jpg,156.726,265.625,7.70
2026-05-10,17:29:12.775245800,2,1,src10K.jpg,6585.344,6187.500,4.27
2026-05-10,17:29:13.381370700,2,1,src2K.jpg,253.309,421.875,7.57
2026-05-10,17:29:14.821785800,2,1,src5K.jpg,997.066,1015.625,4.63
2026-05-10,17:29:18.874328600,2,1,src7K.jpg,3383.176,3296.875,4.43
2026-05-10,17:29:19.353704400,2,2,src.jpg,192.293,312.500,7.39
2026-05-10,17:29:25.834354600,2,2,src10K.jpg,5426.584,6015.625,5.04
2026-05-10,17:29:26.456543800,2,2,src2K.jpg,249.508,453.125,8.25
2026-05-10,17:29:27.868139700,2,2,src5K.jpg,945.904,1187.500,5.71
2026-05-10,17:29:31.404996500,2,2,src7K.jpg,2835.499,3265.625,5.23
2026-05-10,17:29:31.933896700,2,4,src.jpg,191.363,437.500,10.39
2026-05-10,17:29:37.676930,2,4,src10K.jpg,4740.393,5750.000,5.51
2026-05-10,17:29:38.286223100,2,4,src2K.jpg,257.170,437.500,7.73
2026-05-10,17:29:39.681455200,2,4,src5K.jpg,885.879,1218.750,6.25
2026-05-10,17:29:42.785143700,2,4,src7K.jpg,2433.064,3296.875,6.16
2026-05-10,17:29:43.268743300,2,8,src.jpg,185.317,781.250,19.16
2026-05-10,17:29:49.276152400,2,8,src10K.jpg,4965.053,6390.625,5.85
2026-05-10,17:29:49.907264300,2,8,src2K.jpg,293.411,1000.000,15.49
2026-05-10,17:29:51.205071300,2,8,src5K.jpg,845.911,1531.250,8.23
2026-05-10,17:29:54.247722500,2,8,src7K.jpg,2351.983,3703.125,7.16
2026-05-10,17:29:54.793737800,2,16,src.jpg,217.493,1046.875,21.88
2026-05-10,17:30:00.635638500,2,16,src10K.jpg,4802.104,6687.500,6.33
2026-05-10,17:30:01.263690900,2,16,src2K.jpg,300.609,1781.250,26.93
2026-05-10,17:30:02.614795100,2,16,src5K.jpg,898.203,1875.000,9.49
2026-05-10,17:30:05.784867500,2,16,src7K.jpg,2450.437,5046.875,9.36
2026-05-10,17:30:06.252452500,3,1,src.jpg,151.425,281.250,8.44
2026-05-10,17:30:13.660443,3,1,src10K.jpg,6343.613,6234.375,4.47
2026-05-10,17:30:14.250435300,3,1,src2K.jpg,246.759,312.500,5.76
2026-05-10,17:30:15.781171400,3,1,src5K.jpg,1049.929,1140.625,4.94
2026-05-10,17:30:20.128195100,3,1,src7K.jpg,3639.993,3609.375,4.51
2026-05-10,17:30:20.598988900,3,2,src.jpg,158.171,375.000,10.78
2026-05-10,17:30:26.985003200,3,2,src10K.jpg,5371.928,5843.750,4.94
2026-05-10,17:30:27.558620700,3,2,src2K.jpg,243.650,375.000,7.00
2026-05-10,17:30:28.950786500,3,2,src5K.jpg,956.891,1250.000,5.94
2026-05-10,17:30:32.494202600,3,2,src7K.jpg,2815.122,3171.875,5.12
2026-05-10,17:30:32.968257800,3,4,src.jpg,158.086,328.125,9.43
2026-05-10,17:30:38.814978500,3,4,src10K.jpg,4841.412,5750.000,5.40
2026-05-10,17:30:39.400573600,3,4,src2K.jpg,253.207,453.125,8.13
2026-05-10,17:30:40.765756600,3,4,src5K.jpg,842.420,1203.125,6.49
2026-05-10,17:30:43.761068100,3,4,src7K.jpg,2332.989,3156.250,6.15
2026-05-10,17:30:44.230158800,3,8,src.jpg,180.859,421.875,10.60
2026-05-10,17:30:50.330184700,3,8,src10K.jpg,4950.491,6093.750,5.60
2026-05-10,17:30:50.967789300,3,8,src2K.jpg,255.504,734.375,13.06
2026-05-10,17:30:52.249657700,3,8,src5K.jpg,843.690,1562.500,8.42
2026-05-10,17:30:55.301034900,3,8,src7K.jpg,2369.779,3281.250,6.29
2026-05-10,17:30:55.809531300,3,16,src.jpg,199.995,1187.500,26.99
2026-05-10,17:31:01.716279100,3,16,src10K.jpg,4844.411,6765.625,6.35
2026-05-10,17:31:02.345126400,3,16,src2K.jpg,292.749,1265.625,19.65
2026-05-10,17:31:03.639645200,3,16,src5K.jpg,840.775,2062.500,11.15
2026-05-10,17:31:06.726692700,3,16,src7K.jpg,2410.509,4406.250,8.31
2026-05-10,17:31:07.179880600,4,1,src.jpg,151.867,218.750,6.55
2026-05-10,17:31:14.892899,4,1,src10K.jpg,6615.794,6656.250,4.57
2026-05-10,17:31:15.482626200,4,1,src2K.jpg,257.385,359.375,6.35
2026-05-10,17:31:16.980688500,4,1,src5K.jpg,1035.458,1171.875,5.14
2026-05-10,17:31:21.284411700,4,1,src7K.jpg,3650.402,3640.625,4.53
2026-05-10,17:31:21.782253600,4,2,src.jpg,180.006,406.250,10.26
2026-05-10,17:31:27.182903200,4,2,src10K.jpg,4406.071,7421.875,7.66
2026-05-10,17:31:27.748863700,4,2,src2K.jpg,208.512,468.750,10.22
2026-05-10,17:31:29.100522500,4,2,src5K.jpg,892.363,1687.500,8.60
2026-05-10,17:31:32.092859100,4,2,src7K.jpg,2249.768,4031.250,8.14
2026-05-10,17:31:32.639451600,4,4,src.jpg,227.163,921.875,18.45
2026-05-10,17:31:36.719991700,4,4,src10K.jpg,3085.234,8750.000,12.89
2026-05-10,17:31:37.293859100,4,4,src2K.jpg,234.290,906.250,17.58
2026-05-10,17:31:38.349410800,4,4,src5K.jpg,599.306,1734.375,13.15
