date,time,implementation,threads,image_file,execution_ms,cpu_ms,avg_cpu_percent
2026-05-06,10:20:19.302627500,1,1,src.jpg,224.397,390.625,7.91
2026-05-06,10:20:31.028739700,2,8,src.jpg,340.398,859.375,11.48
2026-05-06,10:20:37.865869600,3,8,src.jpg,343.230,875.000,11.59
2026-05-06,10:20:45.197580300,4,8,src.jpg,337.570,890.625,11.99
2026-05-06,10:20:51.672164900,5,8,src.jpg,338.652,687.500,9.23
2026-05-06,10:29:18.646507500,1,1,src2K.jpg,320.920,546.875,7.75
2026-05-06,10:29:27.975308300,2,8,src2K.jpg,338.289,812.500,10.92
2026-05-06,10:29:43.252571,3,8,src2K.jpg,346.159,828.125,10.87
2026-05-06,10:29:50.000614100,4,8,src2K.jpg,329.655,875.000,12.06
2026-05-06,10:29:57.102885400,5,8,src2K.jpg,444.478,859.375,8.79
2026-05-06,10:32:12.305613400,1,1,src5K.jpg,1135.622,1718.750,6.88
2026-05-06,10:32:22.086167500,2,8,src5K.jpg,1196.247,3140.625,11.93
2026-05-06,10:32:32.950676800,3,8,src5K.jpg,1200.905,2937.500,11.12
2026-05-06,10:32:44.918075900,4,8,src5K.jpg,1209.236,3375.000,12.69
2026-05-06,10:32:54.477622600,5,8,src5K.jpg,1216.516,3031.250,11.33
2026-05-06,10:36:06.504220400,1,1,src7K.jpg,3558.886,9203.125,11.75
2026-05-06,10:36:20.262889600,2,8,src7K.jpg,3318.853,8343.750,11.43
2026-05-06,10:36:32.398273500,3,8,src7K.jpg,3362.297,5984.375,8.09
2026-05-06,10:36:43.841460500,4,8,src7K.jpg,3524.384,10593.750,13.66
2026-05-06,10:36:53.657332800,5,8,src7K.jpg,3494.991,8796.875,11.44
2026-05-06,10:33:14.892030400,1,1,src10K.jpg,5212.995,14406.250,12.56
2026-05-06,10:33:33.389319900,2,8,src10K.jpg,4617.681,14625.000,14.40
2026-05-06,10:33:48.667905100,3,8,src10K.jpg,5171.508,18218.750,16.01
2026-05-06,10:34:03.270581700,4,8,src10K.jpg,4681.357,13718.750,13.32
2026-05-06,10:34:20.555307,5,8,src10K.jpg,5057.936,14265.625,12.82
